orderid,discount,profit,quantity,sales,profit_margin
US-2020-147627-47,0,1.7901,3,6.63,0.27
US-2020-147627-48,0,10.9698,3,23.34,0.47
US-2020-147627-49,0,181.9818,7,699.93,0.26
US-2020-147774-50,0.7,-51.5154,1,67.194,-0.766666667
US-2020-148614-51,0,5.79,2,19.3,0.3
US-2020-148614-52,0,9.2928,2,19.36,0.48
US-2020-167927-53,0,4.8609,3,14.73,0.33
US-2020-167927-54,0,30.0234,3,272.94,0.11
US-2020-167927-55,0.1,93.5816,4,247.716,0.377777778
US-2020-167927-56,0,12.7368,3,43.92,0.29
US-2020-167927-57,0,8.9535,5,19.05,0.47
US-2020-167927-58,0,13.365,5,29.7,0.45
US-2020-167927-59,0,4.0542,1,13.98,0.29
US-2020-167927-60,0,15.9792,2,66.58,0.24
US-2020-110422-61,0.2,4.1028,3,25.248,0.1625
US-2020-102645-62,0,19.2384,6,40.08,0.48
US-2020-146997-63,0,0,3,5.94,0
US-2020-155502-64,0,4.4712,3,12.42,0.36
US-2020-155502-65,0,30.7818,3,62.82,0.49
US-2020-155502-66,0,8.34,2,16.68,0.5
US-2020-155502-67,0,9.3312,3,19.44,0.48
US-2020-155502-68,0,0,8,489.92,0
US-2020-155502-69,0,52.6344,2,187.98,0.28
US-2020-155502-70,0,0,13,155.35,0
US-2020-167997-71,0,39.7488,2,141.96,0.28
US-2020-167997-72,0,5.0196,2,10.68,0.47
US-2020-117163-73,0.2,-16.65,3,333,-0.05
US-2020-117163-74,0,12.0252,4,36.44,0.33
US-2020-117163-75,0,14.3075,1,57.23,0.25
US-2020-100328-76,0.2,1.3257,1,3.928,0.3375
US-2020-134103-77,0,4.752,2,10.56,0.45
US-2020-134103-78,0,6.8982,2,229.94,0.03
US-2020-115161-79,0.15,3.4196,2,290.666,0.011764706
US-2020-140795-80,0,206.316,6,468.9,0.44
US-2020-123400-81,0.7,-12.224,2,18.336,-0.666666667
US-2020-123400-82,0.2,13.572,5,180.96,0.075
US-2020-139857-83,0,5.8045,5,12.35,0.47
US-2020-111059-84,0.2,4.3134,3,13.272,0.325
US-2020-111059-85,0.2,27.248,2,83.84,0.325
US-2020-104808-86,0.2,6.0368,2,17.248,0.35
US-2020-107181-87,0.2,29.0136,3,82.896,0.35
US-2020-107181-88,0,16.0928,4,34.24,0.47
US-2020-108182-89,0.8,-14.7708,2,8.952,-1.65
US-2020-131905-90,0,7.2,4,15,0.48
US-2020-131905-91,0,42.0355,5,144.95,0.29
US-2020-131905-92,0,42.0186,1,161.61,0.26
US-2020-107755-93,0,49.6048,7,115.36,0.43
US-2020-169390-94,0,9.744,4,64.96,0.15
US-2020-125759-95,0,5.5328,2,14.56,0.38
US-2020-127614-96,0,75.3732,6,1256.22,0.06
US-2020-127614-97,0,8.2062,2,17.46,0.47
US-2020-127614-98,0,103.158,3,234.45,0.44
US-2020-168368-99,0,15.2225,1,60.89,0.25
US-2020-168368-100,0,53.2704,3,332.94,0.16
US-2020-168368-101,0,24.393,3,51.9,0.47
US-2020-168368-102,0,4.4344,2,9.64,0.46
US-2020-168368-103,0,6.8724,3,14.94,0.46
US-2020-168368-104,0,2.5984,2,64.96,0.04
US-2020-110674-105,0.2,-24.294,2,129.568,-0.1875
US-2020-107706-106,0.2,6.066,3,16.176,0.375
US-2020-121762-107,0,22.9488,2,81.96,0.28
US-2020-121762-108,0,4.7724,2,238.62,0.02
US-2020-121762-109,0,86.3892,3,239.97,0.36
US-2020-165568-110,0.2,7.209,5,21.36,0.3375
US-2020-122567-111,0.8,-13.93,2,7.96,-1.75
US-2020-122567-112,0.8,-1.728,3,1.08,-1.6
US-2020-154165-113,0.2,8.8088,14,54.208,0.1625
US-2020-152905-114,0.2,-2.5248,2,12.624,-0.2
US-2020-165589-115,0.6,-11.322,5,25.16,-0.45
US-2020-109491-116,0,6.9088,4,20.32,0.34
US-2020-109491-117,0,22.4316,3,62.31,0.36
US-2020-164903-118,0,6.2208,2,12.96,0.48
US-2020-165540-119,0.8,-13.7175,5,8.85,-1.55
US-2020-133354-120,0,9.3312,3,19.44,0.48
US-2020-103744-121,0.8,-6.8634,3,4.428,-1.55
US-2020-103744-122,0.2,2.3409,3,6.936,0.3375
US-2020-137680-123,0.2,7.6869,3,22.776,0.3375
US-2020-137680-124,0.2,11.1024,4,32.896,0.3375
US-2020-156545-125,0.2,3.4048,4,19.456,0.175
US-2020-104269-126,0.2,51.4764,2,457.568,0.1125
US-2020-113880-127,0.3,-172.1172,6,634.116,-0.271428571
US-2020-113880-128,0.2,5.6784,3,17.472,0.325
US-2020-131009-129,0.3,0,6,362.25,0
US-2020-131009-130,0.6,-34.9536,6,63.552,-0.55
US-2020-131009-131,0.2,-3.5325,5,18.84,-0.1875
US-2020-131009-132,0.2,-22.6716,3,129.552,-0.175
US-2020-143707-133,0,1.6038,3,5.94,0.27
US-2020-168312-134,0.3,-43.0296,3,376.509,-0.114285714
US-2020-168312-135,0.2,8.5845,3,137.352,0.0625
US-2020-107524-136,0,5.3392,2,11.36,0.47
US-2020-107524-137,0,17.472,5,36.4,0.48
US-2020-111157-138,0.2,1.07,1,3.424,0.3125
US-2020-111157-139,0.2,32.13,,151.2,0.2125
US-2020-105648-140,0.2,-23.4882,,626.352,-0.0375
US-2020-127964-141,0.2,9.1785,5,25.32,0.3625
US-2020-127964-142,0.2,40.872,3,125.76,0.325
US-2020-127964-143,0,4.5954,1,9.99,0.46
US-2020-127978-144,0.5,-199.617,5,302.45,-0.66
US-2020-127978-145,0.2,4.914,3,15.12,0.325
US-2020-127978-146,0.2,-10.0512,8,44.672,-0.225
US-2020-130421-147,0.8,-459.6072,3,176.772,-2.6
US-2020-155852-148,0.2,3.4048,4,19.456,0.175
US-2020-116239-149,0,17.745,5,354.9,0.05
US-2020-117016-150,0.2,2.3328,3,15.552,0.15
US-2020-169061-151,0,15.4752,3,59.52,0.26
US-2020-169061-152,0.2,16.7508,6,49.632,0.3375
US-2020-169061-153,0,45.9754,2,97.82,0.47
US-2020-169061-154,0,5.3998,2,18.62,0.29
US-2020-169061-155,0,177.5889,3,479.97,0.37
US-2020-104563-156,0.2,21.8352,6,436.704,0.05
US-2020-104563-157,0.2,54.1764,2,481.568,0.1125
US-2020-104563-158,0,9.499,5,20.65,0.46
US-2020-104563-159,0,0,5,204.9,0
US-2020-131982-160,0.2,33.64,2,107.648,0.3125
US-2020-156587-161,0.2,5.4801,1,48.712,0.1125
US-2020-156587-162,0,4.6644,3,17.94,0.26
US-2020-156587-163,0,4.8588,3,242.94,0.02
US-2020-100279-164,0,10.7424,2,22.38,0.48
US-2020-140116-165,0.2,9.3564,4,83.168,0.1125
US-2020-140116-166,0.2,-15.9102,3,636.408,-0.025
US-2020-103338-167,0,2.0748,3,7.98,0.26
US-2020-114790-168,0,38.1576,3,146.76,0.26
US-2020-114790-169,0,7.0218,3,14.94,0.47
US-2020-114790-170,0,14.1728,2,32.96,0.43
US-2020-114790-171,0,164.6316,3,587.97,0.28
US-2020-158337-172,0,49.014,14,108.92,0.45
US-2020-166884-173,0.2,2.288,5,8.32,0.275
US-2020-166884-174,0.2,1.7004,6,10.464,0.1625
US-2020-100293-175,0.2,31.8696,6,91.056,0.35
US-2020-114510-176,0.2,11.1672,4,33.088,0.3375
US-2020-114510-177,0.2,20.1656,2,62.048,0.325
US-2020-114510-178,0,3.2392,1,80.98,0.04
US-2020-114510-179,0,5.7672,2,21.36,0.27
US-2020-114510-180,0,6.624,12,82.8,0.08
US-2020-125521-181,0,284.98,4,1139.92,0.25
US-2020-152618-182,0.2,2.64,2,8.448,0.3125
US-2020-152618-183,0.3,156.047,2,574.91,0.271428571
US-2020-157623-184,0,1.2506,1,3.38,0.37
US-2020-157623-185,0,4.752,2,10.56,0.45
US-2020-149958-186,0.2,5.1408,,45.696,0.1125
US-2020-149958-187,0.7,-5.5338,,7.218,-0.766666667
US-2020-149958-188,0.7,-31.6712,4,43.188,-0.733333333
US-2020-149958-189,0.2,47.8152,3,131.904,0.3625
US-2020-149958-190,0.2,17.847,1,142.776,0.125
US-2020-157609-191,0.2,29.495,2,471.92,0.0625
US-2020-118339-192,0,36.5742,2,93.78,0.39
US-2020-118339-193,0,5.7072,6,19.68,0.29
US-2020-118339-194,0,17.2224,6,35.88,0.48
US-2020-118339-195,0,25.098,10,53.4,0.47
US-2020-118339-196,0,23.59,7,47.18,0.5
US-2020-127859-197,0.2,41.1528,6,126.624,0.325
US-2020-148838-198,0.4,-553.6476,4,1071.576,-0.516666667
US-2020-148838-199,0.4,-447.5947,7,1579.746,-0.283333333
US-2020-148838-200,0.4,-122.7816,3,613.908,-0.2
US-2020-148838-201,0,75.9696,4,155.04,0.49
US-2020-148838-202,0,16.3842,7,34.86,0.47
US-2020-158442-203,0.2,0.3336,2,4.448,0.075
US-2020-158442-204,0.2,1.8792,1,5.184,0.3625
US-2020-158442-205,0.2,5.4432,3,15.552,0.35
US-2020-164763-206,0,8.4942,3,32.67,0.26
US-2020-164763-207,0,14.9156,2,30.44,0.49
US-2020-164763-208,0,5.3721,3,11.43,0.47
US-2020-164763-209,0,7.68,4,16,0.48
US-2020-164763-210,0,6.3504,2,12.96,0.49
US-2020-111871-211,0.15,70.49,10,1198.33,0.058823529
US-2020-131275-212,0,14.43,2,111,0.13
US-2020-131275-213,0,334.1142,7,1856.19,0.18
US-2020-131275-214,0.2,415.9896,4,1279.968,0.325
US-2020-145317-215,0.2,15.294,3,122.352,0.125
US-2020-145317-216,0.2,8.0766,2,30.768,0.2625
US-2020-145317-217,0.2,1.002,3,8.016,0.125
US-2020-145317-218,0.2,5.9175,3,18.936,0.3125
US-2020-145317-219,0.2,7.4816,4,21.376,0.35
US-2020-145317-220,0.5,-1811.0784,6,22638.48,-0.08
US-2020-145317-221,0.5,-16.426,4,821.3,-0.02
US-2020-103989-222,0.2,5.5044,3,20.016,0.275
US-2020-103989-223,0.2,1.3728,3,4.992,0.275
US-2020-103989-224,0.7,-25.737,5,33.57,-0.766666667
US-2020-103989-225,0.2,3.9852,4,11.808,0.3375
US-2020-103989-226,0.2,1.962,,26.16,0.075
US-2020-103989-227,0.2,53.2,,170.24,0.3125
US-2020-103989-228,0.2,28.3479,,323.976,0.0875
US-2020-107405-229,0.2,-3.8646,,16.272,-0.2375
US-2020-140004-230,0.2,1.5876,,6.048,0.2625
US-2020-140004-231,0.2,1.2038,,7.408,0.1625
US-2020-155544-232,0.2,-10.9188,,218.376,-0.05
US-2020-155544-233,0.2,6.5904,,32.952,0.2
US-2020-155544-234,0.2,22.2,,59.2,0.375
US-2020-163223-235,0,2.7028,,9.32,0.29
US-2020-163223-236,0,59.0112,,122.94,0.48
US-2020-163223-237,0,6.624,,14.4,0.46
US-2020-163223-238,0,60.2553,,122.97,0.49
US-2020-163223-239,0,909.9818,,3499.93,0.26
US-2020-129609-240,0,6.512,,16.28,0.4
US-2020-148040-241,0.2,-35.3646,3,314.352,-0.1125
US-2020-148040-242,0.2,23.235,3,74.352,0.3125
US-2020-158057-243,0.7,-39.4565,5,51.465,-0.766666667
US-2020-158057-244,0.7,-5.8604,4,7.644,-0.766666667
US-2020-120838-245,0,85.904,2,330.4,0.26
US-2020-120838-246,0.2,37.797,6,604.752,0.0625
US-2020-164749-247,0.2,3.2214,3,9.912,0.325
US-2020-143637-248,0,14.5728,2,40.48,0.36
US-2020-147235-249,0,11.703,5,24.9,0.47
US-2020-128237-250,0,9.9216,6,25.44,0.39
US-2020-128237-251,0,3.72,2,14.88,0.25
US-2020-128237-252,0,1.9024,2,6.56,0.29
US-2020-128237-253,0,15.918,4,45.48,0.35
US-2020-148586-254,0.1,65.2064,7,366.786,0.177777778
US-2020-100860-255,0,9,5,18.75,0.48
US-2020-138436-256,0,8.619,3,66.3,0.13
US-2020-141838-257,0,0.84,2,3.36,0.25
US-2020-141838-258,0.2,9.4284,4,27.936,0.3375
US-2020-141838-259,0.2,2.8784,2,28.784,0.1
US-2020-100881-260,0.2,22.6782,3,302.376,0.075
US-2020-117380-261,0.4,-143.2548,1,330.588,-0.433333333
US-2020-137869-262,0,106.6248,4,1184.72,0.09
US-2020-137869-263,0,2.8764,3,6.12,0.47
US-2020-137274-264,0.3,-152.7156,3,890.841,-0.171428571
US-2020-105151-265,0,2.94,5,10.5,0.28
US-2020-113124-266,0,6.465,2,129.3,0.05
US-2020-131247-267,0.15,-12.098,2,205.666,-0.058823529
US-2020-133424-268,0,22.2,3,44.4,0.5
US-2020-133424-269,0,0,3,15.84,0
US-2020-162089-270,0.3,-9.093,7,127.302,-0.071428571
US-2020-162089-271,0.2,113.3055,5,335.72,0.3375
US-2020-162089-272,0.2,88.1804,7,251.944,0.35
US-2020-169033-273,0,20.853,5,49.65,0.42
US-2020-101770-274,0.7,-1.3083,1,1.869,-0.7
US-2020-104759-275,0.8,-13.8278,7,8.134,-1.7
US-2020-104759-276,0.2,13.9972,2,79.984,0.175
US-2020-112403-277,0.7,-0.5964,1,0.852,-0.7
US-2020-128055-278,0,14.8344,2,52.98,0.28
US-2020-128055-279,0.2,252.588,2,673.568,0.375
US-2020-130428-280,0.2,98.4802,7,1125.488,0.0875
US-2020-130428-281,0.2,1.0584,2,4.032,0.2625
US-2020-130428-282,0.7,-10.116,5,12.645,-0.8
US-2020-138359-283,0,3.0576,2,6.24,0.49
US-2020-138359-284,0,2.6784,4,66.96,0.04
US-2020-157021-285,0.2,5.5536,4,17.088,0.325
US-2020-157021-286,0,14.8,2,29.6,0.5
US-2020-157847-287,0.2,10.465,7,33.488,0.3125
US-2020-157847-288,0.2,9.352,5,26.72,0.35
US-2020-160276-289,0,46.1968,2,177.68,0.26
US-2020-164315-290,0,40.274,5,154.9,0.26
US-2020-164315-291,0,7.128,3,15.84,0.45
US-2020-164315-292,0,293.9804,7,1049.93,0.28
US-2020-112291-293,0,5.58,2,11.16,0.5
US-2020-112291-294,0,57.5928,2,159.98,0.36
US-2020-112291-295,0,22.4316,3,62.31,0.36
US-2020-105172-296,0,9.072,6,18.9,0.48
US-2020-128685-297,0.2,2.245,2,7.184,0.3125
US-2020-133228-298,0,2.3521,1,5.47,0.43
US-2020-133228-299,0,23.808,4,79.36,0.3
US-2020-149538-300,0,6.3504,2,12.96,0.49
US-2020-149538-301,0,9.3312,3,19.44,0.48
US-2020-149538-302,0,9.302,5,232.55,0.04
US-2020-149538-303,0,42.9914,2,99.98,0.43
US-2020-102988-304,0,6.6584,7,22.96,0.29
US-2020-102988-305,0,7.5768,7,22.96,0.33
US-2020-102988-306,0,6.3504,2,12.96,0.49
US-2020-102988-307,0,83.281,5,4164.05,0.02
US-2020-102988-308,0,8.4071,1,28.99,0.29
US-2020-113887-309,0,26.6304,1,55.48,0.48
US-2020-149104-310,0,7.476,2,26.7,0.28
US-2020-149104-311,0,4.5837,3,13.89,0.33
US-2020-149104-312,0,18.09,5,40.2,0.45
US-2020-149104-313,0,20.6946,6,689.82,0.03
US-2020-151001-314,0.2,3.9072,4,52.096,0.075
US-2020-151001-315,0.2,3.7224,4,49.632,0.075
US-2020-157231-316,0,56.5264,7,115.36,0.49
US-2020-102652-317,0,15.6332,2,91.96,0.17
US-2020-102652-318,0,12.9129,7,33.11,0.39
US-2020-102652-319,0,26.6304,1,55.48,0.48
US-2020-102652-320,0,9.3312,3,19.44,0.48
US-2020-118486-321,0.4,-36.1116,3,154.764,-0.233333333
US-2020-118486-322,0.2,-2.1896,1,10.304,-0.2125
US-2020-118486-323,0.2,21.897,2,116.784,0.1875
US-2020-136742-324,0.7,-35.928,6,44.91,-0.8
US-2020-153808-325,0,18.447,3,70.95,0.26
US-2020-153808-326,0.2,23.7684,2,65.568,0.3625
US-2020-153808-327,0,131.9868,3,299.97,0.44
US-2020-169803-328,0,111.1035,3,653.55,0.17
US-2020-169803-329,0,2.034,2,33.9,0.06
US-2020-124023-330,0,2.7776,2,8.96,0.31
US-2020-128846-331,0,60.2553,3,122.97,0.49
US-2020-128846-332,0,163.787,5,629.95,0.26
US-2020-165806-333,0,27.9936,9,58.32,0.48
US-2020-165806-334,0,50.2425,3,200.97,0.25
US-2020-100363-335,0.2,0.8288,2,2.368,0.35
US-2020-100363-336,0.2,6.8904,3,19.008,0.3625
US-2020-118997-337,0,316.1392,8,1215.92,0.26
US-2020-121769-338,0.4,-94.6605,1,172.11,-0.55
US-2020-150581-339,0.2,2.4898,1,99.592,0.025
US-2020-150581-340,0,139.986,4,399.96,0.35
US-2020-163797-341,0.2,-11.8256,8,49.792,-0.2375
US-2020-102715-342,0.2,2.3328,3,6.912,0.3375
US-2020-102715-343,0.2,3.6288,2,10.368,0.35
US-2020-102715-344,0.2,41.993,7,335.944,0.125
US-2020-102715-345,0.2,81.5949,3,383.976,0.2125
US-2020-110555-346,0,24.3824,7,87.08,0.28
US-2020-110555-347,0,91.3248,6,217.44,0.42
US-2020-110555-348,0.2,9.2386,2,105.584,0.0875
US-2020-121734-349,0.2,3.3544,1,9.584,0.35
US-2020-138940-350,0.2,265.4232,6,758.352,0.35
US-2020-142979-351,0,16.2688,2,39.68,0.41
US-2020-154599-352,0.15,-18.147,3,308.499,-0.058823529
US-2020-154599-353,0.2,6.5569,7,18.088,0.3625
US-2020-154599-354,0.2,38.3572,4,438.368,0.0875
US-2020-154599-355,0.2,94.0702,14,1075.088,0.0875
US-2020-158365-356,0,15.552,5,32.4,0.48
US-2020-122336-357,0.2,1.116,4,17.856,0.0625
US-2020-122336-358,0.7,-407.976,10,509.97,-0.8
US-2020-122336-359,0.2,10.0724,13,30.992,0.325
US-2020-122336-360,0.4,8.3916,12,71.928,0.116666667
US-2020-167724-361,0,3.6018,3,7.83,0.46
US-2020-120740-362,0,76.9816,4,187.76,0.41
US-2020-120740-363,0,31.0184,2,106.96,0.29
US-2020-155208-364,0.2,9.768,6,39.072,0.25
US-2020-100678-365,0.3,-18.1176,3,317.058,-0.057142857
US-2020-100678-366,0.2,1.008,2,2.688,0.375
US-2020-100678-367,0.2,50.4063,3,149.352,0.3375
US-2020-100678-368,0.2,28.497,3,227.976,0.125
US-2020-110849-369,0,3.5475,5,10.75,0.33
US-2020-110849-370,0,3.8048,4,13.12,0.29
US-2020-110849-371,0,3.6022,2,11.62,0.31
US-2020-110849-372,0.2,97.1892,4,287.968,0.3375
US-2020-158470-373,0,26.703,3,58.05,0.46
US-2020-158470-374,0,34.2144,11,71.28,0.48
US-2020-169460-375,0,26.649,3,76.14,0.35
US-2020-101462-376,0,27.5632,4,59.92,0.46
US-2020-134572-377,0.3,-95.67,5,744.1,-0.128571429
US-2020-134572-378,0.3,-131.951,2,401.59,-0.328571429
US-2020-134572-379,0.2,5.605,5,44.84,0.125
US-2020-136336-380,0,0,6,828.84,0
US-2020-158064-381,0.2,5.5755,5,16.52,0.3375
US-2020-122070-382,0.2,3.3453,3,9.912,0.3375
US-2020-122070-383,0,121.4416,8,247.84,0.49
US-2020-111857-384,0,22.9877,1,48.91,0.47
US-2020-112564-385,0.7,-1.7514,3,2.502,-0.7
US-2020-150119-386,0.3,-12.0588,2,281.372,-0.042857143
US-2020-150119-387,0.3,-12.0588,2,281.372,-0.042857143
US-2020-150119-388,0.2,7.8176,4,22.336,0.35
US-2020-150119-389,0.7,-5.2416,8,7.488,-0.7
US-2020-110100-390,0.2,37.797,3,302.376,0.125
US-2020-157406-391,0.2,0.546,3,6.24,0.0875
US-2020-157406-392,0.2,3.6288,2,10.368,0.35
US-2020-166954-393,0.2,148.704,5,1487.04,0.1
US-2020-166954-394,0,63.6825,5,303.25,0.21
US-2020-166954-395,0,78.5088,3,270.72,0.29
US-2020-116785-396,0,6.206,,21.4,0.29
US-2020-116785-397,0,5.796,,12.6,0.46
US-2020-147298-398,0.2,23.028,,230.28,0.1
US-2020-147298-399,0.2,5.715,,18.288,0.3125
US-2020-118976-400,0,1.4952,,5.34,0.28
US-2020-118976-401,0,9.387,,20.86,0.45
US-2020-118976-402,0,1.512,,3.15,0.48
US-2020-118976-403,0,129.3786,,497.61,0.26
US-2020-131387-404,0.2,125.997,,1679.96,0.075
US-2020-132983-405,0,57.5928,2,159.98,0.36
US-2020-140228-406,0.2,2.5056,3,6.912,0.3625
US-2020-140228-407,0.2,-37.7332,2,177.568,-0.2125
US-2020-140228-408,0.2,2.0322,3,27.096,0.075
US-2020-107811-409,0.2,70.198,2,561.584,0.125
US-2020-107811-410,0.2,-1.249,5,99.92,-0.0125
US-2020-118304-411,0,5.1948,2,19.98,0.26
US-2020-134061-412,0,5.9364,2,17.46,0.34
US-2020-142727-413,0,12.99,2,51.96,0.25
US-2020-142727-414,0,8.6112,3,17.94,0.48
US-2020-156006-415,0,16.2486,3,47.79,0.34
US-2020-160094-416,0,45.487,5,174.95,0.26
US-2020-160094-417,0,214.76,5,826,0.26
US-2020-115056-418,0.2,1.9602,3,26.136,0.075
US-2020-124618-419,0.2,89.997,2,479.984,0.1875
US-2020-130274-420,0,10.3488,7,21.56,0.48
US-2020-135755-421,0.2,3.9498,3,10.896,0.3625
US-2020-135755-422,0.2,14.5638,3,40.176,0.3625
US-2020-111899-423,0.2,2.838,2,37.84,0.075
US-2020-111899-424,0.2,1.8468,6,5.472,0.3375
US-2020-117709-425,0,21.06,4,46.8,0.45
US-2020-148194-426,0,3.8976,7,12.18,0.32
US-2020-148194-427,0,19.0344,4,57.68,0.33
US-2020-155271-428,0,9.8856,2,27.46,0.36
US-2020-110219-429,0.3,-9.1335,3,127.869,-0.071428571
US-2020-111934-430,0,5.346,2,11.88,0.45
US-2020-111934-431,0,16.6568,1,35.44,0.47
US-2020-160738-432,0.2,3.9592,2,45.248,0.0875
US-2020-166457-433,0,1.9024,2,6.56,0.29
US-2020-166457-434,0,11.5432,2,24.56,0.47
US-2020-166457-435,0,4.239,3,9.42,0.45
US-2020-121664-436,0.2,52.776,8,140.736,0.375
US-2020-154879-437,0,30.2232,6,107.94,0.28
US-2020-154879-438,0,2.7166,2,5.78,0.47
US-2020-166086-439,0,244.2496,4,872.32,0.28
US-2020-166086-440,0.3,-38.85,2,194.25,-0.2
US-2020-166086-441,0,2.5056,3,8.64,0.29
US-2020-166086-442,0,7.9086,3,16.14,0.49
US-2020-116666-443,0.4,239.996,5,1799.97,0.133333333
US-2020-102071-444,0,40.3128,3,167.97,0.24
US-2020-102071-445,0,4.068,4,67.8,0.06
US-2020-158771-446,0,4.536,3,9.45,0.48
US-2020-158771-447,0,9.499,5,20.65,0.46
US-2020-158771-448,0,21.7728,7,45.36,0.48
US-2020-158771-449,0,14.985,3,83.25,0.18
US-2020-103310-450,0.2,32.098,1,256.784,0.125
US-2020-103310-451,0,19.1808,2,39.96,0.48
US-2020-103310-452,0,11.0808,6,41.04,0.27
US-2020-103310-453,0.2,125.3,5,1432,0.0875
US-2020-114181-454,0.5,-216.9783,7,349.965,-0.62
US-2020-114181-455,0.2,5.301,5,22.32,0.2375
US-2020-159709-456,0,77.4837,3,158.13,0.49
US-2020-159709-457,0.2,4.36,5,43.6,0.1
US-2020-103849-458,0.6,-84.2928,4,66.112,-1.275
US-2020-103849-459,0.2,7.264,2,58.112,0.125
US-2020-103849-460,0.2,6.2995,1,100.792,0.0625
US-2020-119172-461,0.8,-172.557,9,104.58,-1.65
US-2020-119172-462,0.2,5.6784,3,17.472,0.325
US-2020-127523-463,0,9.6957,3,35.91,0.27
US-2020-139017-464,0.2,7.6154,2,46.864,0.1625
US-2020-152100-465,0.3,-69.312,8,1212.96,-0.057142857
US-2020-127159-466,0,10.7849,7,34.79,0.31
US-2020-155887-467,0.3,-130.0104,3,700.056,-0.185714286
US-2020-113768-468,0.2,20.9592,6,279.456,0.075
US-2020-113768-469,0,3.84,2,8,0.48
US-2020-114433-470,0,52.4895,3,149.97,0.35
US-2020-140165-471,0.7,-331.96,8,398.352,-0.833333333
US-2020-140165-472,0.2,2.3976,2,7.104,0.3375
US-2020-167164-473,0,9.99,2,55.5,0.18
US-2020-106810-474,0.2,23.316,2,310.88,0.075
US-2020-125150-475,0.2,17.466,5,232.88,0.075
US-2020-163146-476,0,3.384,3,56.4,0.06
US-2020-148761-477,0,45.84,3,91.68,0.5
US-2020-103373-478,0.4,-168.9558,2,779.796,-0.216666667
US-2020-133963-479,0.2,1.4442,1,3.984,0.3625
US-2020-164224-480,0.2,3.7308,3,149.232,0.025
US-2020-164224-481,0.2,5.7768,4,15.936,0.3625
US-2020-107699-482,0,26.4132,9,57.42,0.46
US-2020-130155-483,0,9.234,5,34.2,0.27
US-2020-114188-484,0,60.1398,7,139.86,0.43
US-2020-114188-485,0,9.3184,4,33.28,0.28
US-2020-114188-486,0,11.9412,9,38.52,0.31
US-2020-130673-487,0.6,-5.9409,3,10.332,-0.575
US-2020-130673-488,0.2,3.6288,2,10.368,0.35
US-2020-130673-489,0.2,-13.392,5,66.96,-0.2
US-2020-130673-490,0.2,-3.6372,2,20.784,-0.175
US-2020-104780-491,0,10.5072,8,31.84,0.33
US-2020-117639-492,0,1276.4871,7,2715.93,0.47
US-2020-117639-493,0,173.0316,3,617.97,0.28
US-2020-127166-494,0.3,-29.2524,2,107.772,-0.271428571
